Order Date,data_source,Country,CC VS APM,First Payment Method,Psp Operation Status,Psp Actionability,Fail Order Count,Order Count
2026-01-01,Efood,Cyprus,Credit Card,applepay,FRAUD_RISK,Non-actionable,214,293
2026-01-01,Efood,Cyprus,Credit Card,applepay,GENERIC_REJECTION,Non-actionable,14,26
2026-01-01,Efood,Cyprus,Credit Card,applepay,INSUFFICIENT_FUNDS,Non-actionable,586,964
2026-01-01,Efood,Cyprus,Credit Card,card,3DS_DROPPED,Non-actionable,780,1384
2026-01-01,Efood,Cyprus,Credit Card,card,AUTH_FAILED,Non-actionable,823,2095
2026-01-01,Efood,Cyprus,Credit Card,card,FRAUD_RISK,Non-actionable,476,668
2026-01-01,Efood,Cyprus,Credit Card,card,GENERIC_REJECTION,Non-actionable,82,178
2026-01-01,Efood,Cyprus,Credit Card,card,INSUFFICIENT_FUNDS,Non-actionable,2523,6175
2026-01-01,Efood,Cyprus,Credit Card,card,STATUS_MISMATCH,Actionable,3,3
2026-01-01,Efood,Cyprus,Credit Card,googlepay,3DS_DROPPED,Non-actionable,8,16
2026-01-01,Efood,Cyprus,Credit Card,googlepay,AUTH_FAILED,Non-actionable,10,21
2026-01-01,Efood,Cyprus,Credit Card,googlepay,FRAUD_RISK,Non-actionable,83,124
2026-01-01,Efood,Cyprus,Credit Card,googlepay,GENERIC_REJECTION,Non-actionable,2,10
2026-01-01,Efood,Cyprus,Credit Card,googlepay,INSUFFICIENT_FUNDS,Non-actionable,80,156
2026-01-01,Efood,Greece,Alternative Payment Method,revolutpay,Redirection Failure,unknown,1,1
2026-01-01,Efood,Greece,Alternative Payment Method,revolutpay,unknown,unknown,0,1
2026-01-01,Efood,Greece,Credit Card,applepay,AUTH_FAILED,Non-actionable,4,11
2026-01-01,Efood,Greece,Credit Card,applepay,FRAUD_RISK,Non-actionable,313,604
2026-01-01,Efood,Greece,Credit Card,applepay,GENERIC_REJECTION,Non-actionable,425,871
2026-01-01,Efood,Greece,Credit Card,applepay,INSUFFICIENT_FUNDS,Non-actionable,4658,12924
2026-01-01,Efood,Greece,Credit Card,applepay,STATUS_MISMATCH,Actionable,61,61
2026-01-01,Efood,Greece,Credit Card,card,3DS_DROPPED,Non-actionable,16413,36404
2026-01-01,Efood,Greece,Credit Card,card,AUTH_FAILED,Non-actionable,10113,26695
2026-01-01,Efood,Greece,Credit Card,card,FRAUD_RISK,Non-actionable,923,1403
2026-01-01,Efood,Greece,Credit Card,card,GENERIC_REJECTION,Non-actionable,1712,3649
2026-01-01,Efood,Greece,Credit Card,card,INSUFFICIENT_FUNDS,Non-actionable,28936,101502
2026-01-01,Efood,Greece,Credit Card,card,Redirection Failure,unknown,2,4
2026-01-01,Efood,Greece,Credit Card,card,STATUS_MISMATCH,Actionable,230,230
2026-01-01,Efood,Greece,Credit Card,googlepay,3DS_DROPPED,Non-actionable,315,521
2026-01-01,Efood,Greece,Credit Card,googlepay,AUTH_FAILED,Non-actionable,1128,3056
