Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Austria,CIT,Alternative Payment Method,invoice,NOT MAPPED,1,1,0,0
2026-01,Foodora,Austria,CIT,Alternative Payment Method,klarna,Drops,352,0,0,352
2026-01,Foodora,Austria,CIT,Alternative Payment Method,klarna,NOT MAPPED,886,878,8,0
2026-01,Foodora,Austria,CIT,Alternative Payment Method,klarna,Payment Instrument Issues,53,0,0,53
2026-01,Foodora,Austria,CIT,Alternative Payment Method,klarna,unknown,2,0,0,2
2026-01,Foodora,Austria,CIT,Alternative Payment Method,no_payment,unknown,1,0,0,0
2026-01,Foodora,Austria,CIT,Alternative Payment Method,require_payment,NOT MAPPED,5,0,0,0
2026-01,Foodora,Austria,CIT,Credit Card,applepay,Drops,2,0,0,2
2026-01,Foodora,Austria,CIT,Credit Card,applepay,Fraud Risk,1,0,0,1
2026-01,Foodora,Austria,CIT,Credit Card,applepay,Generic Rejection,1,0,0,1
2026-01,Foodora,Austria,CIT,Credit Card,applepay,Insufficient Funds,22,0,0,22
2026-01,Foodora,Austria,CIT,Credit Card,applepay,NOT MAPPED,3974,3879,95,0
2026-01,Foodora,Austria,CIT,Credit Card,applepay,Payment Instrument Issues,16,0,0,16
2026-01,Foodora,Austria,CIT,Credit Card,applepay,Third Party System Error,1,0,0,1
2026-01,Foodora,Austria,CIT,Credit Card,applepay,unknown,4,1,0,3
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,Drops,1600,0,0,1600
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,Fraud Risk,7,0,0,7
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,Generic Rejection,2,0,0,2
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,Insufficient Funds,15,0,0,15
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,NOT MAPPED,3850,3713,133,4
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,Payment Instrument Issues,241,0,0,241
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,Third Party System Error,4,0,0,4
2026-01,Foodora,Austria,CIT,Credit Card,credit_card,unknown,8,0,0,8
2026-01,Foodora,Austria,MIT,Alternative Payment Method,invoice,NOT MAPPED,63,63,0,0
2026-01,Foodora,Austria,MIT,Alternative Payment Method,klarna,Drops,7,0,0,7
2026-01,Foodora,Austria,MIT,Alternative Payment Method,klarna,NOT MAPPED,1547,1528,19,0
2026-01,Foodora,Austria,MIT,Alternative Payment Method,klarna,Payment Instrument Issues,113,0,0,113
2026-01,Foodora,Austria,MIT,Alternative Payment Method,klarna,unknown,2,2,0,0
